PixNum  Edges.x  Edges.y  Long  Lat
0  0  0  -51.7373  39.3479
1  1  201  -51.6226  16.2898
2  2  202  -51.5078  16.1751
3  3  202  -51.3931  16.1751
4  4  204  -51.2784  15.9456
5  5  205  -51.1637  15.8309
6  6  204  -51.049  15.9456
7  7  206  -50.9343  15.7162
8  8  207  -50.8195  15.6015
9  9  206  -50.7048  15.7162
10  10  206  -50.5901  15.7162
11  11  207  -50.4754  15.6015
12  12  208  -50.3607  15.4868
13  13  209  -50.246  15.3721
14  14  211  -50.1312  15.1426
15  15  212  -50.0165  15.0279
16  16  212  -49.9018  15.0279
17  17  213  -49.7871  14.9132
18  18  218  -49.6724  14.3396
19  19  219  -49.5577  14.2249
20  20  220  -49.4429  14.1102
21  21  220  -49.3282  14.1102
22  22  220  -49.2135  14.1102
23  23  220  -49.0988  14.1102
24  24  222  -48.9841  13.8807
25  25  223  -48.8694  13.766
26  26  224  -48.7546  13.6513
27  27  224  -48.6399  13.6513
28  28  225  -48.5252  13.5366
29  29  225  -48.4105  13.5366
30  30  224  -48.2958  13.6513
31  31  221  -48.1811  13.9954
32  32  223  -48.0663  13.766
33  33  224  -47.9516  13.6513
34  34  223  -47.8369  13.766
35  35  221  -47.7222  13.9954
36  36  222  -47.6075  13.8807
37  37  221  -47.4928  13.9954
38  38  221  -47.378  13.9954
39  39  220  -47.2633  14.1102
40  40  219  -47.1486  14.2249
41  41  218  -47.0339  14.3396
42  42  218  -46.9192  14.3396
43  43  218  -46.8045  14.3396
44  44  218  -46.6897  14.3396
45  45  217  -46.575  14.4543
46  46  216  -46.4603  14.569
47  47  215  -46.3456  14.6838
48  48  213  -46.2309  14.9132
49  49  212  -46.1162  15.0279
50  50  211  -46.0014  15.1426
51  51  210  -45.8867  15.2573
52  52  207  -45.772  15.6015
53  53  207  -45.6573  15.6015
54  54  207  -45.5426  15.6015
55  55  207  -45.4279  15.6015
56  56  206  -45.3131  15.7162
57  57  207  -45.1984  15.6015
58  58  210  -45.0837  15.2573
59  59  211  -44.969  15.1426
60  60  213  -44.8543  14.9132
61  61  214  -44.7396  14.7985
62  62  215  -44.6248  14.6838
63  63  215  -44.5101  14.6838
64  64  217  -44.3954  14.4543
65  65  220  -44.2807  14.1102
66  66  221  -44.166  13.9954
67  67  222  -44.0513  13.8807
